track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
6Yj7Zhxt73uvwFFvzQXdxO,Flight's Booked,"Honestly, Nevermind",Drake,2022-06-17,254407,68,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,122.584,4
1L0OmJV0LnPDWuHCIGmBV6,On The Radar Freestyle,On The Radar Freestyle,Drake,2023-07-26,275280,82,0.615,0.108,0.632,0.0,0.129,-8.539,0.292,150.126,4
4IcbUXrAzBtn6iUO1LP471,Away From Home,For All The Dogs,Drake,2023-10-06,258592,81,0.848,0.0195,0.625,0.0,0.109,-7.64,0.0587,93.019,4
302EsF6DE70LfngVNLlqo5,Fell In Love (with Ken Carson),TEC,Lil Tecca,2023-09-22,173195,75,0.63,0.00417,0.695,0.0,0.117,-5.74,0.0592,139.959,4
08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),Certified Lover Boy,Drake,2021-09-03,192417,74,0.843,0.181,0.485,0.0675,0.107,-8.735,0.195,100.053,4
4FIgHqXd4KkOwxrGeLDYM2,Texts Go Green,"Honestly, Nevermind",Drake,2022-06-17,308820,65,0.765,0.000916,0.627,0.195,0.0847,-4.607,0.0622,118.997,4
17IBDpAl3J39swaoPlfGpp,Another Late Night (feat. Lil Yachty),For All The Dogs,Drake,2023-10-06,170414,83,0.684,0.0347,0.541,0.0,0.138,-8.04,0.0483,158.046,4
7l2nxyx7IkBX5orhkALg0V,Privileged Rappers,Her Loss,Drake,2022-11-04,160821,77,0.934,0.00274,0.614,0.0,0.123,-7.384,0.198,144.045,4
5rfMpJorQrwpvCOfDM7Q5L,Wake Up,Wake Up,Dom Corleo,2023-03-31,112153,62,0.752,0.0242,0.411,0.0,0.168,-8.407,0.0965,137.037,4
4rmVZajAF7PkrCagGPHbqa,Sticky,"Honestly, Nevermind",Drake,2022-06-17,243227,78,0.853,0.0917,0.495,0.000217,0.0844,-14.63,0.14,137.027,4
3N3d4OWbPVxTQVBFqNyykk,Down Hill,"Honestly, Nevermind",Drake,2022-06-17,250864,58,0.718,0.965,0.319,0.00036,0.0895,-11.261,0.0435,109.994,4
0xl1w2q4VLojeXp4JfazPL,Sacrifices,More Life,Drake,2017-03-18,307593,62,0.903,0.0407,0.439,0.0,0.138,-11.813,0.397,139.112,4
